Gene ID	baseMean	log2FoldChange	lfcSE (standard error)	stat	pvalue	padj
Os03g0826900	8108.518323	-5.734962358	0.110045742	-52.11435041	0	0
Os02g0730000	3601.011306	-3.017177747	0.08050234	-37.47937927	2.00E-307	2.97E-303
Os01g0615100	5101.778302	-4.926524483	0.131778995	-37.38474779	6.91E-306	6.85E-302
Os07g0258400	2780.110861	3.769916625	0.102458839	36.79444992	2.26E-296	1.68E-292
Os04g0511200	4685.686263	-5.246204767	0.143172723	-36.64248795	6.03E-294	3.59E-290
Os02g0616100	2673.258674	4.251041261	0.116711061	36.42363636	1.80E-290	8.92E-287
Os10g0492900	8031.366268	-3.962875253	0.109075492	-36.33149112	5.15E-289	2.19E-285
Os01g0511100	5131.287256	-4.715271035	0.130556382	-36.11674089	1.24E-285	4.60E-282
Os03g0307200	5916.286185	5.158978934	0.144878279	35.60905721	1.01E-277	3.35E-274
Os07g0418700	6164.305829	-6.503261051	0.183775676	-35.38695222	2.71E-274	8.06E-271
Os06g0698300	3015.628416	-5.742027059	0.163095428	-35.20654833	1.59E-271	4.29E-268
Os12g0183100	9670.875497	-2.65290004	0.076345518	-34.74860218	1.46E-264	3.61E-261
Os09g0440300	17900.84289	-3.08168474	0.090324203	-34.1180396	3.98E-255	9.12E-252
Os01g0952800	5117.818163	3.704206093	0.108920427	34.00836928	1.68E-253	3.56E-250
Os01g0159000	1387.047471	-4.963015776	0.146548432	-33.86604478	2.11E-251	4.18E-248
Os02g0649300	2989.783768	-8.319160008	0.247706177	-33.58479034	2.80E-247	5.20E-244
Os03g0439700	5511.592125	3.21676083	0.098282197	32.72984248	5.88E-235	1.03E-231
Os02g0783700	8979.583638	-4.5228842	0.138892523	-32.56391408	1.33E-232	2.20E-229
Os06g0356800	7283.590075	-3.517928078	0.109416602	-32.15168448	8.37E-227	1.31E-223
Os01g0110400	4246.017691	-3.050424567	0.094918057	-32.13745267	1.32E-226	1.97E-223
Os01g0644000	3797.121903	-4.096965389	0.127739409	-32.07283813	1.05E-225	1.49E-222
Os05g0130100	1606.155924	-4.185757691	0.131346999	-31.8679355	7.43E-223	1.00E-219
Os01g0214500	1022.255857	-4.816806537	0.151511864	-31.79161305	8.45E-222	1.09E-218
Os03g0244200	2751.193317	-2.700580802	0.085239198	-31.68238167	2.72E-220	3.37E-217
Os03g0820500	5953.852835	-6.349056057	0.200959825	-31.59365833	4.51E-219	5.37E-216
Os05g0550600	1207.262706	-5.555220733	0.175987991	-31.56590808	1.08E-218	1.24E-215
Os10g0150300	1350.554902	7.007253555	0.224017006	31.28000715	8.73E-215	9.61E-212
Os10g0389200	1486.953635	-3.688912061	0.118896133	-31.0263418	2.38E-211	2.53E-208
Os03g0291500	23478.24479	-3.29285588	0.10633828	-30.96585602	1.55E-210	1.59E-207
Os05g0125500	5126.927549	-3.018212573	0.098061932	-30.77863672	5.06E-208	5.02E-205
Os09g0344500	2879.680649	-7.150611821	0.232491671	-30.75642143	1.00E-207	9.63E-205
Os07g0209100	3619.623881	-4.862444125	0.158436089	-30.69025602	7.68E-207	7.14E-204
Os07g0147550	3257.416082	-7.169339134	0.233782505	-30.66670505	1.58E-206	1.43E-203
Os03g0286900	1847.810452	-4.955442508	0.162371287	-30.51920442	1.45E-204	1.27E-201
Os10g0463800	6966.870327	-3.682642912	0.122231366	-30.12846077	2.05E-199	1.75E-196
Os04g0513400	1749.590961	-5.291429254	0.175688426	-30.11825758	2.79E-199	2.31E-196
Os12g0147200	1039.292264	-6.609381905	0.220016532	-30.04038758	2.92E-198	2.34E-195
Os11g0262600	1624.15881	4.116748137	0.137126978	30.02143129	5.15E-198	4.03E-195
Os05g0113900	1136.151277	4.198983979	0.140348911	29.91818001	1.14E-196	8.71E-194
Os07g0169600	4979.73191	-3.182735694	0.107144749	-29.7050085	6.62E-194	4.92E-191
Os03g0803100	1485.675412	-3.287415269	0.111187146	-29.56650465	4.03E-192	2.92E-189
Os01g0661500	3465.603458	-2.69642826	0.091955303	-29.32324909	5.24E-189	3.71E-186
Os05g0438700	1700.550963	3.909973653	0.134235057	29.12781306	1.60E-186	1.10E-183
Os03g0279200	4697.853559	3.391951872	0.116603841	29.08953812	4.87E-186	3.29E-183
Os01g0495701	1161.641215	3.604206822	0.123945467	29.07897257	6.62E-186	4.38E-183
Os03g0729000	2616.723848	-3.665137153	0.126169747	-29.0492551	1.57E-185	1.02E-182
Os03g0431600	890.6232574	4.037992766	0.139120819	29.02507906	3.18E-185	2.01E-182
Os08g0490900	2190.448151	3.429342636	0.118488979	28.94229217	3.51E-184	2.17E-181
Os09g0325700	1125.565762	-4.950145077	0.173793995	-28.48283145	1.91E-178	1.16E-175
Os05g0557200	4606.719738	-2.565027217	0.090404299	-28.37284571	4.38E-177	2.60E-174
Os09g0464066	1220.221197	-4.940331074	0.174460086	-28.31783003	2.08E-176	1.22E-173
Os01g0647200	16931.03645	4.465536652	0.159422639	28.01068074	1.20E-172	6.89E-170
Os01g0962100	2688.698367	-4.378084684	0.156719968	-27.93571709	9.83E-172	5.52E-169
Os02g0649900	11677.96335	3.331564558	0.119541297	27.86957017	6.24E-171	3.44E-168
Os10g0546400	933.7079553	-3.413905648	0.122649103	-27.83473793	1.65E-170	8.91E-168
Os01g0266800	8343.123622	-4.016208199	0.14464069	-27.76679364	1.09E-169	5.80E-167
Os10g0377150	1198.19525	4.580235078	0.165511401	27.67323002	1.47E-168	7.65E-166
Os01g0814100	1099.872995	4.133430612	0.150263148	27.50794626	1.41E-166	7.23E-164
Os12g0550800	1851.099841	-4.22476336	0.153823563	-27.4649948	4.60E-166	2.32E-163
Os09g0469600	2334.93348	3.583051558	0.132579333	27.02571717	7.37E-161	3.65E-158
Os11g0634200	3569.315313	-3.662102383	0.13598033	-26.9311186	9.49E-160	4.55E-157
Os09g0388400	646.3585103	-4.252950219	0.157919079	-26.93119941	9.47E-160	4.55E-157
Os01g0655500	11624.01386	2.403975991	0.089959512	26.7228661	2.55E-157	1.21E-154
Os07g0418600	10784.46498	-4.54938454	0.171334391	-26.5526641	2.39E-155	1.11E-152
Os06g0159450	774.2871024	4.39239294	0.165573627	26.52833685	4.57E-155	2.09E-152
Os10g0195250	2458.440265	3.550871811	0.134265919	26.44656088	4.00E-154	1.80E-151
Os12g0569200	4018.273126	2.583322199	0.098802416	26.14634634	1.08E-150	4.81E-148
Os03g0807900	4309.967353	-2.842201812	0.109001505	-26.07488601	7.03E-150	3.07E-147
Os06g0160100	906.514219	4.937964983	0.190215875	25.95979427	1.41E-148	6.08E-146
Os05g0575000	1577.362134	-5.088941414	0.196940613	-25.83997958	3.15E-147	1.34E-144
Os04g0459500	47427.89656	3.63884165	0.141033731	25.80121522	8.59E-147	3.60E-144
Os08g0101700	953.761555	3.654373756	0.141814731	25.76864703	1.99E-146	8.23E-144
Os12g0282000	799.8142893	4.521949205	0.175517582	25.76351126	2.27E-146	9.27E-144
Os12g0236225	2236.701664	3.842617903	0.149460024	25.71000467	9.03E-146	3.63E-143
Os03g0736900	4467.224563	2.643510835	0.103106559	25.63862932	5.66E-145	2.25E-142
Os09g0109600	488.146003	-5.281795253	0.207507593	-25.45350351	6.46E-143	2.53E-140
Os06g0193200	598.1359526	3.819223991	0.151170857	25.26428746	7.89E-141	3.05E-138
Os06g0103300	2758.93885	-2.4772616	0.098177781	-25.23240567	1.77E-140	6.74E-138
Os06g0246500	474.2899873	-5.029980848	0.199443508	-25.22007812	2.41E-140	9.08E-138
Os03g0146400	2898.808936	-2.458001796	0.097540165	-25.19989365	4.02E-140	1.49E-137
Os03g0826800	8522.953188	-2.483736627	0.099245803	-25.02611242	3.18E-138	1.17E-135
Os03g0718800	2050.495012	-2.823079692	0.112963199	-24.99114508	7.63E-138	2.77E-135
Os03g0694000	912.9000316	-3.626565167	0.145188057	-24.97839859	1.05E-137	3.76E-135
Os03g0767800	10834.29194	-1.970131892	0.079052934	-24.92167947	4.33E-137	1.53E-134
Os04g0640700	1033.462442	2.802580524	0.112524387	24.90642775	6.34E-137	2.22E-134
Os02g0650300	2637.767725	3.952726098	0.158896917	24.87604026	1.35E-136	4.68E-134
Os04g0496300	667.1958033	4.458606793	0.179281735	24.86927519	1.60E-136	5.47E-134
Os10g0552700	1190.641956	2.938506941	0.118274256	24.84485677	2.94E-136	9.93E-134
Os02g0240100	518.147101	-3.446166744	0.138870175	-24.81574419	6.06E-136	2.03E-133
Os12g0189300	13576.45146	2.36040981	0.095171857	24.80155265	8.63E-136	2.85E-133
Os07g0693800	1384.095906	3.841492713	0.155076127	24.77165753	1.81E-135	5.92E-133
Os03g0835400	1104.245337	-2.910482747	0.117713623	-24.72511409	5.74E-135	1.86E-132
Os11g0255500	649.7829384	-5.411387735	0.21932405	-24.67302489	2.08E-134	6.66E-132
